Price_€,Review_Score,Review_Score_,Number_Of_Reviews,App_area_sqm,Dist_center_km
780,8.9,4,10.0,56.0,0.8
494,8.7,4,8.0,60.0,1.9
900,9.0,3,10.0,30.0,0.15
1158,9.2,3,20.0,28.0,1.8
528,9.6,5,27.0,69.0,1.8
480,9.0,3,3.0,27.0,0.5
1368,9.9,5,30.0,55.0,0.45
690,9.8,5,12.0,60.0,2.0
720,9.6,5,14.0,65.0,0.4
414,7.5,1,5.0,35.0,3.8
702,9.5,5,26.0,45.0,1.0
414,8.2,2,3.0,36.0,3.4
750,9.9,5,9.0,55.0,1.8
852,9.2,3,33.0,75.0,3.1
474,9.7,5,4.0,30.0,0.7
331,8.7,4,21.0,17.0,3.9
414,8.8,4,16.0,18.0,3.9
580,8.7,4,21.0,45.0,1.9
750,9.1,3,36.0,45.0,0.45
485,9.0,3,4.0,38.0,2.0
732,9.2,3,96.0,44.0,3.3
331,8.4,2,17.0,15.0,1.3
485,8.7,4,6.0,62.0,2.1
840,7.7,1,28.0,40.0,0.45
595,9.8,5,5.0,37.0,0.45
540,9.0,3,27.0,30.0,1.0
480,8.5,2,11.0,35.0,0.6
430,8.5,2,18.0,28.0,2.0
393,8.2,2,7.0,46.0,2.2
900,8.7,4,24.0,60.0,1.7
506,9.7,5,7.0,32.0,1.8
600,9.0,3,12.0,65.0,2.0
1188,9.7,5,13.0,80.0,0.5
625,9.0,3,3.0,54.0,0.6
538,8.5,2,17.0,36.0,2.0
589,9.3,3,10.0,65.0,1.5
630,9.7,5,17.0,53.0,1.1
621,9.9,5,4.0,75.0,2.3
570,8.2,2,5.0,35.0,0.45
588,8.7,4,12.0,70.0,1.6
300,7.5,1,10.0,44.0,1.5
653,8.9,4,63.0,20.0,0.5
720,9.1,3,43.0,22.0,0.7
570,8.3,2,6.0,50.0,1.2
330,8.9,4,6.0,20.0,3.6
390,9.0,3,19.0,25.0,1.1
556,9.5,5,5.0,45.0,2.2
774,8.6,4,17.0,40.0,1.8
510,9.7,5,40.0,26.0,0.7
660,9.7,5,9.0,60.0,1.8
360,7.4,1,5.0,45.0,2.4
456,9.3,3,28.0,40.0,3.4
582,9.5,5,21.0,27.0,1.1
497,8.7,4,8.0,40.0,1.5
780,9.7,5,3.0,56.0,1.6
555,9.7,5,6.0,23.0,1.2
750,9.8,5,5.0,30.0,1.0
1248,9.8,5,38.0,30.0,1.7
438,9.5,5,15.0,30.0,2.6
612,8.8,4,13.0,60.0,0.15
600,9.4,3,17.0,50.0,3.3
690,8.6,4,22.0,45.0,0.7
420,9.5,5,20.0,50.0,2.0
900,9.5,5,66.0,33.0,0.6
1122,9.3,3,22.0,62.0,1.7
480,9.4,3,36.0,44.0,3.0
485,8.8,4,4.0,33.0,1.9
492,10.0,5,6.0,33.0,3.5
890,9.6,5,93.0,30.0,0.8
450,9.4,3,28.0,45.0,1.4
579,9.1,3,11.0,56.0,3.0
1146,9.8,5,25.0,50.0,0.25
900,8.8,4,16.0,48.0,1.1
570,9.5,5,11.0,43.0,0.6
900,9.7,5,53.0,55.0,0.25
792,9.1,3,6.0,40.0,1.6
1044,9.7,5,4.0,54.0,0.2
900,9.8,5,26.0,80.0,0.45
1038,9.7,5,19.0,46.0,0.2
474,8.0,2,12.0,41.0,1.9
552,9.3,3,21.0,48.0,0.6
756,9.3,3,34.0,27.0,2.0
